Размер_массива,Время_мс,Количество_итераций
101;0,125900;1852
215;0,386700;4629
654;0,234000;17263
915;0,372900;25431
1021;0,402300;28706
1098;0,353300;31285
1236;1,835500;36041
1443;0,225600;43067
1471;0,225300;44045
1478;0,211600;44338
1527;0,216000;46006
1565;0,232700;47180
1641;0,246900;49902
1653;1,048900;50250
1779;0,236600;54684
1900;0,315500;58617
1944;0,300000;60117
2160;0,322000;67881
2246;0,327900;71143
2262;0,314000;71747
2437;0,349900;78204
2485;0,395500;80041
2569;0,384100;83103
2763;0,421000;90285
2959;0,516800;97540
3028;0,538900;100154
3125;0,620000;103805
3457;0,653200;116025
3746;0,689400;126912
3766;0,764100;127521
4030;0,709000;137218
4225;0,757900;144970
4338;0,843800;149414
4701;0,937500;164131
4766;0,880000;166592
4883;0,923800;171314
4940;0,913900;173668
5010;0,878100;176435
5061;2,833100;178492
5193;0,989300;183833
5284;1,075500;187514
5488;1,179400;195807
5609;1,128000;200566
5713;1,152900;204716
5885;1,131400;211582
6049;1,264200;218270
6255;2,008100;226432
6441;1,321300;233769
6566;1,442000;239018
6884;1,466500;251614
6899;1,644100;252385
6942;2,801700;254066
7140;1,499500;261848
7142;2,219200;262026
7173;1,462000;263255
7223;13,306500;265078
7260;2,252700;266734
7311;2,077100;268689
7396;1,557300;272181
7666;1,670200;282964
7793;1,559300;288029
7824;1,632100;289336
7958;1,708300;294588
8083;4,732400;299648
8425;13,022000;313988
8448;11,548900;315018
8456;2,619400;315667
8791;2,166500;330028
8839;2,253000;331945
8850;1,982500;332517
8875;1,961200;333746
9033;1,898500;340584
9042;2,138700;340770
9109;2,039600;343701
9218;2,249700;348485
9264;2,747000;350344
9331;2,049000;353362
9606;2,021400;365304
9629;2,250900;366190
9690;2,070700;368810
